"";"filename";"X3rd.Party.Name";"Attributes";"AttributesPublic";"AttributesStatic";"BaseTags";"Classes";"Comments.Loc";"ConsoleOutput";"CtorsMax";"CtorsMaxName";"EmptyCatches";"EmptyOrNoCatch";"F.Args";"F.Args.Name";"F.GodFnRloc";"F.Mccc";"F.Mccc.Name";"F.Mccc.1.F.RLoc";"F.Mccc.1.F.RLoc.Name";"F.Nl";"F.Nl.Name";"F.RLoc";"F.RLoc.Name";"F.RLoc10.";"F.RLoc100.";"F.RLoc20.";"F.RLoc200.";"F.RLoc50.";"FriendClasses";"Functions";"FunctionsPub";"FunctionsUncommented";"Hacks";"Includes";"IsGenerated";"Lines140.";"Loc";"Loc.Comment";"Loc.Outcommented";"Mccc";"Nl";"Nl0.";"Nl1.";"Nl1..";"Nl1.Mean";"Nl10.";"Nl10..";"Nl10.Mean";"Nl2.";"Nl2..";"Nl2.Mean";"Nl3.";"Nl3..";"Nl3.Mean";"NL4";"Nl4..";"Nl4.Mean";"Nl5.";"Nl5..";"Nl5.Mean";"NL6";"Nl6..";"Nl6.Mean";"Nl7.";"Nl7..";"Nl7.Mean";"Nl8.";"Nl8..";"Nl8.Mean";"Nl9.";"Nl9..";"Nl9.Mean";"NlMean";"RLoc";"Templates";"TestsDisabled";"Todos";"Try.Nl";"Trys";"Trys.w.o.catch";"Uncommented.Complexity";"NL4.rel";"filetype"
"1";"solr/solrj/src/java/org/apache/solr/common/PushWriter.java";"Apache licensed";2;0;0;NA;0;"0.666666666667";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;2;NA;0;42;28;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";6;NA;0;0;0;0;0;0;0;"java"
"2";"solr/solrj/src/java/org/apache/solr/common/EmptyEntityResolver.java";"Apache licensed";0;0;0;NA;1;"0.416666666667";0;1;"EmptyEntityResolver, line 39";2;2;3;"trySetSAXFeature, line 58";NA;1;"";"0.0";"";1;"EntityResolver, line 41";3;"EntityResolver, line 41";0;0;0;0;0;NA;7;2;0;0;8;NA;0;96;40;0;1;1;17;4;"0.235294117647";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.235294117647";34;NA;0;0;1;2;0;0;0;"java"
"3";"solr/solrj/src/java/org/apache/solr/common/SolrInputDocument.java";"Apache licensed";2;0;0;NA;1;"0.279742765273";0;2;"SolrInputDocument, line 35";0;0;3;"setField, line 134";NA;4;"deepCopy, line 206";"1.0";"getChildDocumentCount, line 308";2;"deepCopy, line 206";10;"deepCopy, line 206";1;0;0;0;0;NA;33;33;0;0;7;NA;0;311;87;0;15;2;64;11;"0.171875";"1.09090909091";0;"0.0";"0";1;"0.015625";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.1875";128;NA;0;0;0;0;0;0;0;"java"
"4";"solr/solrj/src/java/org/apache/solr/common/Callable.java";"Apache licensed";0;0;0;NA;0;"0.809523809524";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;0;NA;0;21;17;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";3;NA;0;0;0;0;0;0;0;"java"
"5";"solr/solrj/src/java/org/apache/solr/common/SolrInputField.java";"Apache licensed";3;0;0;NA;1;"0.225108225108";0;1;"SolrInputField, line 28";0;0;2;"setValue, line 47";25;9;"addValue, line 68";"1.0";"toString, line 212";3;"addValue, line 68";25;"addValue, line 68";3;0;1;0;0;NA;14;14;1;0;4;NA;0;231;52;0;20;3;81;49;"0.604938271605";"1.28571428571";0;"0.0";"0";13;"0.16049382716";"2.07692307692";1;"0.0123456790123";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.777777777778";110;NA;0;0;0;0;0;0;0;"java"
"6";"solr/solrj/src/java/org/apache/solr/common/SolrDocumentList.java";"Apache licensed";3;0;0;NA;1;"0.34328358209";0;0;"";0;0;1;"setMaxScore, line 39";NA;2;"toString, line 60";"0.25";"toString, line 60";0;"";4;"toString, line 60";0;0;0;0;0;NA;7;7;0;0;1;NA;0;67;23;0;2;0;10;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";24;NA;0;0;0;0;0;0;0;"java"
"8";"solr/solrj/src/java/org/apache/solr/common/MapSerializable.java";"Apache licensed";0;0;0;NA;0;"0.766666666667";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;1;NA;0;30;23;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";4;NA;0;0;0;0;0;0;0;"java"
"9";"solr/solrj/src/java/org/apache/solr/common/StringUtils.java";"Apache licensed";0;0;0;NA;1;"0.64";0;0;"";0;0;1;"isEmpty, line 21";NA;2;"isEmpty, line 21";"1.0";"isEmpty, line 21";0;"";1;"isEmpty, line 21";0;0;0;0;0;NA;1;1;0;0;0;NA;0;25;16;0;2;0;1;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";4;NA;0;0;0;0;0;0;0;"java"
"10";"solr/solrj/src/java/org/apache/solr/common/IteratorWriter.java";"Apache licensed";2;0;0;NA;0;"0.384615384615";0;NA;"";0;0;1;"add, line 38";NA;1;"";"0.0";"";0;"";2;"add, line 38";0;0;0;0;0;NA;5;0;0;0;1;NA;0;65;25;0;1;0;10;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";21;NA;0;0;0;0;0;0;0;"java"
"11";"solr/solrj/src/java/org/apache/solr/common/EnumFieldValue.java";"Apache licensed";0;0;0;NA;1;"0.226086956522";0;1;"EnumFieldValue, line 26";0;0;2;"EnumFieldValue, line 37";NA;5;"equalStrings, line 75";"0.666666666667";"hashCode, line 31";0;"";7;"equalStrings, line 75";0;0;0;0;0;NA;9;6;0;0;1;NA;0;115;26;0;19;0;37;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";55;NA;0;0;0;0;0;0;0;"java"
"12";"solr/solrj/src/java/org/apache/solr/common/ToleratedUpdateError.java";"Apache licensed";0;0;0;NA;1;"0.360406091371";0;1;"ToleratedUpdateError, line 30";0;0;3;"ToleratedUpdateError, line 112";NA;4;"parseMap, line 76";"0.5";"getEffectiveMaxErrors, line 42";1;"formatForResponseHeader, line 64";9;"parseMap, line 76";0;0;0;0;0;NA;15;15;0;0;5;NA;1;197;71;0;12;1;52;10;"0.192307692308";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.192307692308";82;NA;0;0;1;1;0;0;0;"java"
"13";"solr/solrj/src/java/org/apache/solr/common/SolrDocumentBase.java";"Apache licensed";0;0;0;NA;1;"0.52380952381";0;0;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;4;NA;0;63;33;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";16;NA;0;0;0;0;0;0;0;"java"
"14";"solr/solrj/src/java/org/apache/solr/common/SolrDocument.java";"Apache licensed";1;0;0;NA;1;"0.230958230958";0;2;"SolrDocument, line 42";0;0;2;"setField, line 97";NA;9;"addField, line 131";"0.5";"setField, line 97";3;"addField, line 131";28;"getFieldValuesMap, line 237";4;0;3;0;0;NA;30;30;0;0;9;NA;0;407;94;0;23;3;135;83;"0.614814814815";"1.42168674699";0;"0.0";"0";34;"0.251851851852";"2.02941176471";1;"0.00740740740741";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.874074074074";204;NA;0;1;0;0;0;0;0;"java"
"15";"solr/solrj/src/java/org/apache/solr/common/SolrException.java";"Apache licensed";3;1;1;NA;1;"0.196850393701";0;4;"SolrException, line 32";0;3;3;"SolrException, line 74";NA;7;"doIgnore, line 198";"2.0";"getMetadata, line 119";2;"getRootCause, line 212";7;"doIgnore, line 198";0;0;0;0;0;NA;24;22;1;0;9;NA;0;254;50;6;19;2;84;21;"0.25";"1.09523809524";0;"0.0";"0";2;"0.0238095238095";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.27380952381";135;NA;0;0;1;3;3;0;0;"java"
"16";"solr/solrj/src/java/org/apache/solr/common/MapWriter.java";"Apache licensed";2;0;0;NA;0;"0.333333333333";0;NA;"";0;0;2;"put, line 63";9;1;"";"0.0";"";3;"toMap, line 32";9;"toMap, line 32";0;0;0;0;0;NA;6;0;0;0;2;NA;0;90;30;0;1;3;19;6;"0.315789473684";"2.0";0;"0.0";"0";4;"0.210526315789";"2.5";2;"0.105263157895";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.631578947368";33;NA;0;0;1;1;0;0;0;"java"
"17";"solr/solrj/src/java/org/apache/solr/common/NonExistentCoreException.java";"Apache licensed";0;0;0;NA;1;"0.64";0;1;"NonExistentCoreException, line 19";0;0;1;"NonExistentCoreException, line 21";NA;1;"";"0.0";"";0;"";1;"NonExistentCoreException, line 21";0;0;0;0;0;NA;1;1;0;0;0;NA;0;25;16;0;1;0;1;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";4;NA;0;0;0;0;0;0;0;"java"
"19";"solr/solrj/src/java/org/apache/solr/common/luke/FieldFlag.java";"Apache licensed";0;0;0;NA;0;"0.304347826087";0;NA;"";0;0;2;"FieldFlag, line 44";NA;3;"getFlag, line 50";"0.285714285714";"getFlag, line 50";2;"getFlag, line 50";7;"getFlag, line 50";0;0;0;0;0;NA;4;3;0;0;0;NA;0;69;21;0;3;2;12;3;"0.25";"1.66666666667";0;"0.0";"0";2;"0.166666666667";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.416666666667";37;NA;0;0;0;0;0;0;0;"java"
"20";"solr/solrj/src/java/org/apache/solr/common/util/ContentStream.java";"Apache licensed";2;0;0;NA;0;"0.8";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;3;NA;0;80;64;8;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";11;NA;0;0;0;0;0;0;0;"java"
"21";"solr/solrj/src/java/org/apache/solr/common/util/IOUtils.java";"Apache licensed";0;0;0;NA;1;"0.432432432432";0;0;"";0;0;1;"closeQuietly, line 28";NA;2;"closeQuietly, line 28";"0.2";"closeQuietly, line 28";2;"closeQuietly, line 28";5;"closeQuietly, line 28";0;0;0;0;0;NA;1;1;0;0;4;NA;0;37;16;0;2;2;5;3;"0.6";"1.33333333333";0;"0.0";"0";1;"0.2";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.8";13;NA;0;0;1;1;0;0;0;"java"
"22";"solr/solrj/src/java/org/apache/solr/common/util/StrUtils.java";"Apache licensed";0;0;0;NA;1;"0.260188087774";0;0;"";0;0;3;"splitSmart, line 47";26;14;"splitSmart, line 92";"1.5";"parseBoolean, line 225";4;"splitSmart, line 92";26;"splitSmart, line 92";5;0;2;0;0;NA;14;14;3;0;8;NA;0;319;83;2;71;4;130;85;"0.653846153846";"2.0";0;"0.0";"0";52;"0.4";"2.63461538462";23;"0.176923076923";"3.4347826087";10;"0.0769230769231";"4.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.30769230769";157;NA;0;0;0;0;0;6;0,0636942675159236;"java"
"23";"solr/solrj/src/java/org/apache/solr/common/util/XMLErrorLogger.java";"Apache licensed";0;0;0;NA;1;"0.228915662651";0;1;"XMLErrorLogger, line 29";0;0;4;"report, line 74";NA;2;"report, line 74";"0.2";"report, line 74";1;"report, line 74";5;"report, line 74";0;0;0;0;0;NA;8;8;0;0;8;NA;0;83;19;0;2;1;12;2;"0.166666666667";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.166666666667";38;NA;0;0;0;0;0;0;0;"java"
"24";"solr/solrj/src/java/org/apache/solr/common/util/Hash.java";"Apache licensed";2;0;0;NA;2;"0.306358381503";0;0;"";0;0;5;"murmurhash3_x64_128, line 459";NA;17;"murmurhash3_x64_128, line 459";"0.390243902439";"murmurhash3_x64_128, line 459";3;"murmurhash3_x86_32, line 299";60;"murmurhash3_x86_32, line 299";6;0;6;0;1;NA;10;10;1;0;0;NA;4;519;159;25;59;3;249;156;"0.626506024096";"1.35256410256";0;"0.0";"0";53;"0.212851405622";"2.03773584906";2;"0.00803212851406";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.847389558233";265;NA;0;0;0;0;0;8;0;"java"
"25";"solr/solrj/src/java/org/apache/solr/common/util/DataInputInputStream.java";"Apache licensed";0;0;0;NA;1;"0.730769230769";0;0;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;2;NA;0;26;19;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";4;NA;0;0;0;0;0;0;0;"java"
"26";"solr/solrj/src/java/org/apache/solr/common/util/JavaBinCodec.java";"Apache licensed";21;0;1;NA;3;"0.0897435897436";0;4;"JavaBinCodec, line 62";0;2;3;"writeByteArray, line 460";NA;28;"readObject, line 254";"2.0";"toWrite, line 508";3;"writeSolrDocument, line 474";57;"readObject, line 254";15;0;6;0;1;NA;78;67;8;0;26;NA;0;1170;105;1;145;3;587;320;"0.545144804089";"1.21875";0;"0.0";"0";66;"0.112436115843";"2.06060606061";4;"0.00681431005111";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.664395229983";766;NA;0;1;1;2;2;21;0;"java"
"27";"solr/solrj/src/java/org/apache/solr/common/util/URLUtil.java";"Apache licensed";0;0;0;NA;1;"0.326530612245";0;0;"";0;0;1;"removeScheme, line 26";NA;2;"removeScheme, line 26";"0.25";"removeScheme, line 26";1;"removeScheme, line 26";4;"removeScheme, line 26";0;0;0;0;0;NA;3;3;0;0;2;NA;0;49;16;0;3;1;10;2;"0.2";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.2";18;NA;0;0;0;0;0;0;0;"java"
"28";"solr/solrj/src/java/org/apache/solr/common/util/FastInputStream.java";"Apache licensed";3;0;0;NA;1;"0.116104868914";0;2;"FastInputStream, line 24";0;0;4;"FastInputStream, line 37";NA;8;"read, line 114";"1.0";"wrap, line 45";2;"readUnsignedByte, line 68";22;"read, line 114";2;0;1;0;0;NA;29;28;1;0;1;NA;0;267;31;1;24;2;95;36;"0.378947368421";"1.16666666667";0;"0.0";"0";6;"0.0631578947368";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.442105263158";151;NA;0;0;0;0;0;0;0;"java"
"29";"solr/solrj/src/java/org/apache/solr/common/util/JsonRecordReader.java";"Apache licensed";15;0;0;NA;4;"0.276699029126";0;1;"JsonRecordReader, line 32";0;1;6;"handleObjectStart, line 317";79;34;"handleObjectStart, line 317";"2.0";"hasParentRecord, line 188";5;"handleObjectStart, line 317";79;"handleObjectStart, line 317";8;0;3;0;1;NA;27;10;3;0;5;NA;0;618;171;1;104;5;258;177;"0.686046511628";"1.97740112994";0;"0.0";"0";94;"0.364341085271";"2.84042553191";53;"0.205426356589";"3.49056603774";22;"0.0852713178295";"4.18181818182";4;"0.015503875969";"5.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.35658914729";327;NA;0;0;1;1;1;9;0,0672782874617737;"java"
"31";"solr/solrj/src/java/org/apache/solr/common/util/ByteUtils.java";"Apache licensed";0;0;0;NA;1;"0.24";0;0;"";0;0;5;"UTF8toUTF16, line 34";34;11;"writeUTF16toUTF8, line 135";"0.473684210526";"calcUTF16toUTF8Length, line 193";4;"UTF16toUTF8, line 86";34;"writeUTF16toUTF8, line 135";4;0;3;0;0;NA;6;6;1;0;3;NA;0;225;54;0;34;4;110;86;"0.781818181818";"2.23255813953";0;"0.0";"0";62;"0.563636363636";"2.70967741935";27;"0.245454545455";"3.62962962963";17;"0.154545454545";"4.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.74545454545";122;NA;0;1;0;0;0;0;0,139344262295082;"java"
"32";"solr/solrj/src/java/org/apache/solr/common/util/SolrjNamedThreadFactory.java";"Apache licensed";0;0;0;NA;1;"0.326530612245";0;1;"SolrjNamedThreadFactory, line 22";0;0;1;"SolrjNamedThreadFactory, line 28";NA;2;"SolrjNamedThreadFactory, line 28";"0.2";"SolrjNamedThreadFactory, line 28";0;"";7;"newThread, line 38";0;0;0;0;0;NA;2;2;0;0;2;NA;0;49;16;0;3;0;12;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";23;NA;0;0;0;0;0;0;0;"java"
"33";"solr/solrj/src/java/org/apache/solr/common/util/Base64.java";"Apache licensed";0;0;0;NA;1;"0.292993630573";0;0;"";0;0;3;"byteArrayToBase64, line 59";NA;8;"base64ToByteArray, line 97";"0.25";"base64toInt, line 151";2;"byteArrayToBase64, line 59";31;"base64ToByteArray, line 97";2;0;2;0;0;NA;4;2;1;0;0;NA;0;157;46;3;12;2;63;35;"0.555555555556";"1.28571428571";0;"0.0";"0";10;"0.15873015873";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.714285714286";78;NA;0;0;0;0;0;0;0;"java"
"34";"solr/solrj/src/java/org/apache/solr/common/util/NamedList.java";"Apache licensed";2;0;0;NA;2;"0.375464684015";0;5;"NamedList, line 59";0;0;2;"add, line 181";NA;8;"removeConfigArgs, line 747";"0.8";"killAll, line 304";4;"asShallowMap, line 401";50;"asShallowMap, line 401";7;0;2;0;1;NA;41;39;1;0;12;NA;0;807;303;2;53;4;252;149;"0.59126984127";"1.75167785235";0;"0.0";"0";73;"0.289682539683";"2.53424657534";32;"0.126984126984";"3.21875";7;"0.0277777777778";"4.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.03571428571";325;NA;0;3;0;0;0;0;0,0215384615384615;"java"
"35";"solr/solrj/src/java/org/apache/solr/common/util/ValidatingJsonMap.java";"Apache licensed";0;0;0;NA;1;"0.080229226361";0;3;"ValidatingJsonMap, line 41";0;0;3;"getMap, line 184";NA;8;"getDeepCopy, line 280";"1.0";"getDeepCopy, line 294";2;"get, line 142";12;"handleIncludes, line 263";3;0;0;0;0;NA;34;31;4;0;18;NA;0;349;28;1;48;2;119;43;"0.361344537815";"1.13953488372";0;"0.0";"0";6;"0.0504201680672";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.411764705882";207;NA;0;0;1;4;0;0;0;"java"
"36";"solr/solrj/src/java/org/apache/solr/common/util/Cache.java";"Apache licensed";0;0;0;NA;0;"0.347826086957";0;NA;"";0;0;2;"computeIfAbsent, line 31";NA;3;"computeIfAbsent, line 31";"0.25";"computeIfAbsent, line 31";2;"computeIfAbsent, line 31";8;"computeIfAbsent, line 31";0;0;0;0;0;NA;1;0;0;0;2;NA;0;46;16;0;3;2;8;4;"0.5";"1.5";0;"0.0";"0";2;"0.25";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.75";18;NA;0;0;0;0;0;0;0;"java"
"37";"solr/solrj/src/java/org/apache/solr/common/util/SuppressForbidden.java";"Apache licensed";0;0;0;NA;0;"0.636363636364";0;NA;"";0;0;NA;"";NA;NA;"";"";"";NA;"";NA;"";0;0;0;0;0;NA;0;0;0;0;4;NA;0;33;21;0;1;NA;0;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0";9;NA;0;0;0;0;0;0;0;"java"
"38";"solr/solrj/src/java/org/apache/solr/common/util/MapBackedCache.java";"Apache licensed";0;0;0;NA;1;"0.298245614035";0;1;"MapBackedCache, line 25";0;0;2;"put, line 34";NA;1;"";"0.0";"";0;"";1;"MapBackedCache, line 29";0;0;0;0;0;NA;6;6;0;0;2;NA;0;57;17;0;1;0;6;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";22;NA;0;0;0;0;0;0;0;"java"
"39";"solr/solrj/src/java/org/apache/solr/common/util/RetryUtil.java";"Apache licensed";1;0;0;NA;1;"0.1875";0;0;"";0;0;5;"retryUntil, line 71";NA;5;"retryOnBoolean, line 81";"0.5";"isInstanceOf, line 62";3;"retryOnThrowable, line 44";11;"retryOnThrowable, line 44";1;0;0;0;0;NA;5;4;0;0;8;NA;0;96;18;0;12;3;29;20;"0.689655172414";"1.6";0;"0.0";"0";9;"0.310344827586";"2.33333333333";3;"0.103448275862";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.10344827586";50;NA;0;0;1;1;0;0;0;"java"
"40";"solr/solrj/src/java/org/apache/solr/common/util/ContentStreamBase.java";"Apache licensed";4;0;0;NA;5;"0.212996389892";0;0;"";2;2;2;"StringStream, line 149";NA;10;"detect, line 162";"0.642857142857";"detect, line 162";3;"getContentType, line 108";15;"getContentType, line 108";2;0;0;0;0;NA;22;22;1;0;13;NA;0;277;59;0;18;3;79;28;"0.354430379747";"1.57142857143";0;"0.0";"0";13;"0.164556962025";"2.23076923077";3;"0.0379746835443";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.556962025316";140;NA;0;1;1;3;0;0;0;"java"
"41";"solr/solrj/src/java/org/apache/solr/common/util/Pair.java";"Apache licensed";0;0;0;NA;1;"0.271186440678";0;1;"Pair, line 25";0;0;2;"Pair, line 37";NA;3;"equals, line 43";"0.666666666667";"equals, line 43";0;"";3;"equals, line 43";0;0;0;0;0;NA;6;6;0;0;4;NA;0;59;16;0;3;0;9;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";26;NA;0;0;0;0;0;0;0;"java"
"42";"solr/solrj/src/java/org/apache/solr/common/util/Utils.java";"Apache licensed";0;0;0;NA;1;"0.162995594714";0;0;"";2;2;3;"getDeepCopy, line 57";27;14;"getObjectByPath, line 154";"1.0";"getDeepCopy, line 71";3;"getObjectByPath, line 154";27;"getObjectByPath, line 154";2;0;1;0;0;NA;15;12;3;0;28;NA;0;227;37;0;33;3;89;47;"0.52808988764";"1.6170212766";0;"0.0";"0";22;"0.247191011236";"2.31818181818";7;"0.0786516853933";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.85393258427";137;NA;0;0;1;4;0;3;0;"java"
"43";"solr/solrj/src/java/org/apache/solr/common/util/XML.java";"Apache licensed";0;0;0;NA;1;"0.271844660194";0;0;"";0;0;5;"escape, line 179";NA;4;"escape, line 179";"0.375";"escape, line 179";3;"escape, line 179";19;"writeUnescapedXML, line 105";4;0;0;0;0;NA;9;7;0;0;3;NA;2;206;56;0;14;3;88;64;"0.727272727273";"1.1875";0;"0.0";"0";8;"0.0909090909091";"2.5";4;"0.0454545454545";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.863636363636";106;NA;0;0;0;0;0;0;0;"java"
"44";"solr/solrj/src/java/org/apache/solr/common/util/FastOutputStream.java";"Apache licensed";3;0;0;NA;1;"0.185344827586";0;2;"FastOutputStream, line 24";0;0;3;"FastOutputStream, line 36";20;5;"write, line 67";"1.0";"wrap, line 43";3;"write, line 67";20;"write, line 67";2;0;1;0;0;NA;26;26;0;0;1;NA;0;232;43;0;14;3;75;25;"0.333333333333";"1.52";0;"0.0";"0";10;"0.133333333333";"2.3";3;"0.04";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.506666666667";124;NA;0;0;0;0;0;0;0;"java"
