"";"filename";"X3rd.Party.Name";"Attributes";"AttributesPublic";"AttributesStatic";"BaseTags";"Classes";"Comments.Loc";"ConsoleOutput";"CtorsMax";"CtorsMaxName";"EmptyCatches";"EmptyOrNoCatch";"F.Args";"F.Args.Name";"F.GodFnRloc";"F.Mccc";"F.Mccc.Name";"F.Mccc.1.F.RLoc";"F.Mccc.1.F.RLoc.Name";"F.Nl";"F.Nl.Name";"F.RLoc";"F.RLoc.Name";"F.RLoc10.";"F.RLoc100.";"F.RLoc20.";"F.RLoc200.";"F.RLoc50.";"FriendClasses";"Functions";"FunctionsPub";"FunctionsUncommented";"Hacks";"Includes";"IsGenerated";"Lines140.";"Loc";"Loc.Comment";"Loc.Outcommented";"Mccc";"Nl";"Nl0.";"Nl1.";"Nl1..";"Nl1.Mean";"Nl10.";"Nl10..";"Nl10.Mean";"Nl2.";"Nl2..";"Nl2.Mean";"Nl3.";"Nl3..";"Nl3.Mean";"NL4";"Nl4..";"Nl4.Mean";"Nl5.";"Nl5..";"Nl5.Mean";"NL6";"Nl6..";"Nl6.Mean";"Nl7.";"Nl7..";"Nl7.Mean";"Nl8.";"Nl8..";"Nl8.Mean";"Nl9.";"Nl9..";"Nl9.Mean";"NlMean";"RLoc";"Templates";"TestsDisabled";"Todos";"Try.Nl";"Trys";"Trys.w.o.catch";"Uncommented.Complexity";"NL4.rel";"filetype"
"2952";"lucene/analysis/common/src/java/org/apache/lucene/analysis/de/GermanLightStemFilterFactory.java";"Apache licensed";0;0;0;NA;1;"0.549019607843";0;1;"GermanLightStemFilterFactory, line 37";0;0;1;"GermanLightStemFilterFactory, line 40";NA;2;"GermanLightStemFilterFactory, line 40";"0.333333333333";"GermanLightStemFilterFactory, line 40";1;"GermanLightStemFilterFactory, line 40";3;"GermanLightStemFilterFactory, line 40";0;0;0;0;0;NA;2;2;0;0;4;NA;0;51;28;6;2;1;4;1;"0.25";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.25";13;NA;0;0;0;0;0;0;0;"java"
"2953";"lucene/analysis/common/src/java/org/apache/lucene/analysis/de/GermanNormalizationFilter.java";"Apache licensed";0;0;0;NA;1;"0.309090909091";0;1;"GermanNormalizationFilter, line 41";0;0;1;"GermanNormalizationFilter, line 49";51;14;"incrementToken, line 54";"0.254901960784";"incrementToken, line 54";3;"incrementToken, line 54";51;"incrementToken, line 54";1;0;1;0;1;NA;2;2;1;0;5;NA;0;110;34;0;14;3;52;49;"0.942307692308";"2.67346938776";0;"0.0";"0";42;"0.807692307692";"2.95238095238";40;"0.769230769231";"3.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"2.51923076923";66;NA;0;0;0;0;0;3;0;"java"
"2954";"lucene/analysis/common/src/java/org/apache/lucene/analysis/minhash/MinHashFilterFactory.java";"Apache licensed";4;0;0;NA;1;"0.465517241379";0;1;"MinHashFilterFactory, line 28";0;0;1;"MinHashFilterFactory, line 40";NA;1;"";"0.0";"";0;"";5;"MinHashFilterFactory, line 40";0;0;0;0;0;NA;2;2;0;0;3;NA;0;58;27;0;1;0;6;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";18;NA;0;0;0;0;0;0;0;"java"
"2956";"lucene/analysis/common/src/java/org/apache/lucene/analysis/minhash/MinHashFilter.java";"Apache licensed";13;0;0;NA;3;"0.126213592233";0;1;"MinHashFilter, line 47";0;0;5;"MinHashFilter, line 115";NA;19;"incrementToken, line 148";"1.0";"equals, line 383";7;"incrementToken, line 148";73;"murmurhash3_x64_128, line 415";4;0;3;0;2;NA;24;8;2;0;11;NA;0;515;65;0;57;7;240;146;"0.608333333333";"2.16438356164";0;"0.0";"0";58;"0.241666666667";"3.93103448276";40;"0.166666666667";"4.8";32;"0.133333333333";"5.25";27;"0.1125";"5.48148148148";9;"0.0375";"6.44444444444";4;"0.0166666666667";"7.0";0;"0.0";"0";0;"0.0";"0";"1.31666666667";318;NA;0;0;0;0;0;10;0,10062893081761;"java"
"2957";"lucene/analysis/common/src/java/org/apache/lucene/analysis/sv/SwedishLightStemFilter.java";"Apache licensed";0;0;0;NA;1;"0.431034482759";0;1;"SwedishLightStemFilter, line 37";0;0;1;"SwedishLightStemFilter, line 42";NA;3;"incrementToken, line 47";"0.285714285714";"incrementToken, line 47";2;"incrementToken, line 47";7;"incrementToken, line 47";0;0;0;0;0;NA;2;2;0;0;6;NA;0;58;25;0;3;2;8;5;"0.625";"1.4";0;"0.0";"0";2;"0.25";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.875";22;NA;0;0;0;0;0;0;0;"java"
"2958";"lucene/analysis/common/src/java/org/apache/lucene/analysis/sv/SwedishAnalyzer.java";"Apache licensed";0;0;0;NA;2;"0.432835820896";0;3;"SwedishAnalyzer, line 42";0;0;2;"SwedishAnalyzer, line 99";NA;2;"createComponents, line 117";"0.125";"createComponents, line 117";0;"";8;"createComponents, line 117";0;0;0;0;0;NA;6;4;0;0;17;NA;0;134;58;1;2;0;16;0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0";53;NA;0;0;1;1;0;0;0;"java"
"2959";"lucene/analysis/common/src/java/org/apache/lucene/analysis/sv/SwedishLightStemFilterFactory.java";"Apache licensed";0;0;0;NA;1;"0.549019607843";0;1;"SwedishLightStemFilterFactory, line 37";0;0;1;"SwedishLightStemFilterFactory, line 40";NA;2;"SwedishLightStemFilterFactory, line 40";"0.333333333333";"SwedishLightStemFilterFactory, line 40";1;"SwedishLightStemFilterFactory, line 40";3;"SwedishLightStemFilterFactory, line 40";0;0;0;0;0;NA;2;2;0;0;4;NA;0;51;28;6;2;1;4;1;"0.25";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.25";13;NA;0;0;0;0;0;0;0;"java"
"2961";"lucene/analysis/common/src/java/org/apache/lucene/analysis/sv/SwedishLightStemmer.java";"Apache licensed";0;0;0;NA;1;"0.504504504505";0;0;"";0;0;2;"stem, line 66";NA;28;"stem, line 66";"0.75";"stem, line 66";1;"stem, line 66";36;"stem, line 66";1;0;1;0;0;NA;1;1;1;0;1;NA;0;111;56;0;28;1;36;4;"0.111111111111";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.111111111111";40;NA;0;0;0;0;0;17;0;"java"
"2962";"lucene/analysis/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizer.java";"Apache licensed";0;0;0;NA;1;"0.376237623762";0;0;"";0;0;2;"normalize, line 67";NA;6;"normalize, line 67";"0.178571428571";"normalize, line 67";2;"normalize, line 67";28;"normalize, line 67";1;0;1;0;0;NA;1;1;0;0;1;NA;0;101;38;0;6;2;28;26;"0.928571428571";"1.96153846154";0;"0.0";"0";25;"0.892857142857";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"1.82142857143";49;NA;0;0;0;0;0;0;0;"java"
"2963";"lucene/analysis/common/src/java/org/apache/lucene/analysis/ar/ArabicStemFilter.java";"Apache licensed";0;0;0;NA;1;"0.431034482759";0;1;"ArabicStemFilter, line 37";0;0;1;"ArabicStemFilter, line 42";NA;3;"incrementToken, line 47";"0.285714285714";"incrementToken, line 47";2;"incrementToken, line 47";7;"incrementToken, line 47";0;0;0;0;0;NA;2;2;0;0;6;NA;0;58;25;0;3;2;8;5;"0.625";"1.4";0;"0.0";"0";2;"0.25";"2.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.875";22;NA;0;0;0;0;0;0;0;"java"
"2965";"lucene/analysis/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java";"Apache licensed";0;0;0;NA;1;"0.416666666667";0;1;"ArabicNormalizationFilter, line 31";0;0;1;"ArabicNormalizationFilter, line 35";NA;2;"incrementToken, line 40";"0.2";"incrementToken, line 40";1;"incrementToken, line 40";5;"incrementToken, line 40";0;0;0;0;0;NA;2;2;0;0;4;NA;0;48;20;0;2;1;6;3;"0.5";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.5";17;NA;0;0;0;0;0;0;0;"java"
"2966";"lucene/analysis/common/src/java/org/apache/lucene/analysis/ar/ArabicStemmer.java";"Apache licensed";0;0;0;NA;1;"0.426666666667";0;0;"";0;0;3;"startsWithCheckLength, line 118";NA;6;"startsWithCheckLength, line 118";"0.555555555556";"startsWithCheckLength, line 118";1;"startsWithCheckLength, line 118";9;"startsWithCheckLength, line 118";0;0;0;0;0;NA;5;3;0;0;1;NA;0;150;64;0;13;1;27;11;"0.407407407407";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.407407407407";65;NA;0;0;0;0;0;0;0;"java"
"2967";"lucene/analysis/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java";"Apache licensed";0;0;0;NA;2;"0.522580645161";0;3;"ArabicAnalyzer, line 51";0;0;2;"ArabicAnalyzer, line 116";NA;2;"createComponents, line 133";"0.125";"createComponents, line 133";1;"createComponents, line 133";8;"createComponents, line 133";0;0;0;0;0;NA;6;4;0;0;12;NA;0;155;81;1;2;1;17;1;"0.0588235294118";"1.0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";0;"0.0";"0";"0.0588235294118";48;NA;0;1;1;1;0;0;0;"java"
